id;contact_fr_name;contactfr_prenom;contact_fr_email;contact_fr_mobile_phone;contact_fr_status
1;facilitate content target;panel deliver bandwidth;state Basse-Normandie Refined;b withdrawal;Rhône-Alpes
2;white;navigate a;impactful platforms Pizza;olive Books;circuit e-commerce monitor
3;input;c b Sharable;relationships Nakfa Computers;Laos;connect Games circuit
4;Centre;Inverse primary;Account;Cambridgeshire morph B2C;Administrateur
5;infrastructures Frozen transmitter;Bike;Gambie sensor;Account;c
6;Licensed Pakistan Provence;bandwidth-monitored Ergonomic;pixel Executif d'Azur;c;Incredible
7;Ghana black;Provence;quantify;Table Granite Bedfordshire;Health withdrawal bypass
8;Grocery Generic;deposit;system-worthy;Corse;Gold
9;Wooden array Fresh;Manager;Account open-source;synthesize a teal;redundant microchip Dollar
10;Consultant;Buckinghamshire Reduced;generating;payment Israeli Loan;action-items Bedfordshire c
